Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Ret_MinusOne,Ret_MinusTwo,Ret_PlusOne
,,0.564845516212,0.767075517287,7.0,,58878,0.0098,10.0,5.0,-0.649642056027,0.09,5.0,1.77566467585,2.692005301,1.0,-0.627836294206,0.588828232149,-1.40835384728,,-0.139807509378,-1.72359960381,1.11885365705,-1.28042636397,-0.68025719986,0.0219365620124,0.0346994515087,-0.00311449555593
,1.38389405482,1.35271116063,1.29031186771,6.0,-0.63801864063,90258,0.2119,12.0,,-1.90765853534,0.17,2.0,1.42735919574,1.218960681,1.0,-0.873381262459,0.912848783915,-1.51834878185,2.0,0.377262978742,-2.71500141898,1.113460444,-0.393070340326,-0.828693959419,-0.0127158218175,0.0459815187149,0.00774166185346
10.0,-0.927885307726,-0.552153987079,-0.108109651675,8.0,-0.700315083276,38176,0.3318,,,0.695140574723,0.49,0.0,0.937274147827,1.20363156,1.0,-0.177642516336,0.273861502191,-0.594584209455,,-0.423940720178,0.541143171389,0.0556986482566,-1.2328055616,,-0.00508132008473,-0.0471902419083,-0.00889443046265
,-0.566287848148,0.949824557091,1.11751063338,1.0,1.12739920414,3818,0.0174,14.0,,-0.465083284582,0.17,7.0,1.57874306756,1.145387111,1.0,-1.5618118799,1.95397173494,-1.38356191078,2.0,2.94454905327,-1.250422315,1.64264120677,-2.40815733273,-0.304359733027,0.0156364743153,0.00901658148891,0.0223674003792
,2.21516748426,0.432053669042,,8.0,-0.39670121332,75900,0.0166,13.0,,-0.10374322173,0.68,,2.17102290826,7.017732087,1.0,-0.505273064379,0.333146858391,-1.29644141542,2.0,-0.168977912335,0.163185368738,0.828362227714,-1.91131454685,-0.673943200717,0.106312421983,0.0329839245283,0.016066558623
,-0.294877674338,-0.476328758272,-0.601261984556,8.0,-0.230542552759,64861,0.2986,6.0,,0.644729105869,0.55,0.0,1.56509960218,0.185476249,1.0,-0.126331410786,-0.0387243253584,-0.387019108055,,-0.610465776871,0.021646745464,0.193032242711,-0.683136649169,-0.175908136023,-0.0124255930458,-0.0184789281271,0.0337391629069
,-2.76645891759,2.74955190706,2.38396543423,1.0,10.0562309829,88151,0.0099,13.0,5.0,-2.62808413311,0.58,1.0,0.886037247212,0.772063323,1.0,-2.3394568564,5.89119416377,-2.41451461228,2.0,7.29364928312,-3.53771895463,2.5707852457,-9.98997274129,-0.691055170225,0.0172164819512,0.0440771099821,-0.0299669149468
,-0.373260867622,0.416511850647,0.101873812998,5.0,-0.206453828682,52091,0.3318,8.0,5.0,-0.590245645758,0.97,1.0,1.96973475926,2.927527549,1.0,0.0651771532187,0.0713175739306,-0.939555146943,2.0,-0.176662595816,-0.973695888274,0.43201520996,-0.709183602885,-0.269897889701,-0.0170269210307,-0.00504295873125,-0.0102274025925
,-2.19001815317,0.970192516585,0.722061005847,9.0,1.15904201834,63267,0.365,13.0,5.0,-0.582630380305,0.0,0.0,1.82908806039,0.089626003,,-1.24451750104,1.73542507172,-1.83637408476,2.0,1.49714404871,0.300381583226,,-1.78607562437,3.00204103413,-0.0014843948473,-0.0127090462092,-0.0203331707441
,,0.175391236481,-0.430611610653,7.0,-0.700521351163,89151,0.2654,11.0,5.0,-0.282015731309,0.59,4.0,1.86836391915,0.070711808,1.0,-0.222571396954,0.259482093998,-1.56267043894,2.0,-0.445303855943,-2.40018688276,0.669942817822,-0.30098923721,-0.382436248421,0.0119509993508,-0.0120430833788,0.00650182448198
,0.627070450396,,,1.0,-0.649814760184,97667,0.2119,8.0,5.0,0.773570209285,0.84,1.0,1.51034071311,11.62466791,1.0,0.643551703891,-0.534736126586,-0.512065547077,3.0,-1.09831555121,0.982521817509,0.376110850102,0.294982864757,-0.0486923094097,-0.0216312212362,-0.0245348712736,0.0121088108783
,-1.75614936611,1.40691685805,1.4300320012,1.0,2.94257367186,24922,0.0098,18.0,,-0.893685557275,0.41,5.0,1.70837039334,0.080723547,1.0,-1.38723196878,2.27411501436,-2.10838756938,6.0,3.65951174373,1.55474667325,,-4.14672270615,-0.926898157727,0.00976216125024,0.011178766734,0.0199208145601
,,,,1.0,0.237381471639,1045,0.2323,9.0,5.0,-1.14586080034,0.71,6.0,1.8445725831,6.379313315,1.0,-1.0318431174,1.82484934281,-1.54853218189,6.0,1.58016366497,-0.512032379396,1.48084496086,-2.04698081079,-1.02472024095,-0.00252160321346,0.00175616753101,0.0213083473007
,1.78456042301,0.140814390475,,3.0,-0.0794103679898,74797,0.2138,8.0,5.0,-0.338847694518,0.97,6.0,1.5098962854,8.782873781,1.0,-0.519268371297,0.200252222869,-0.512591647545,8.0,-0.120012407534,-0.256752561474,0.734664164599,-0.0536457929435,-0.241380706947,-0.00800376051468,0.018781251444,-0.000345460529999
,,0.146277297243,0.298804841558,5.0,0.00417766974916,24952,0.365,,,-0.116195845896,0.63,4.0,1.68846752983,0.090604929,2.0,-0.197286575298,0.284482333117,-0.631625542646,7.0,-0.135997585446,0.0691163922157,0.54912191417,1.027059507,-0.437333703224,-0.233727140684,-0.0186981597256,-0.0250498123941
,1.35675886027,0.210249201227,0.540985737211,1.0,1.03990229947,50638,0.2109,20.0,4.0,-0.0307305729326,0.06,6.0,1.73949751389,0.060242746,1.0,-0.902251111765,1.04264596439,-1.66070031822,6.0,1.85539311411,-0.756002203787,,-1.85702341642,-0.91052755417,-0.00518955277074,-0.00690259776677,-0.00470210653146
,1.65827522248,0.427973198821,0.190154337806,8.0,-0.0013622040241,27623,0.3318,13.0,5.0,-0.196705859854,0.95,9.0,0.682794571491,11.81703925,1.0,0.364943697397,-0.206037859959,-0.592745941241,,-0.294899525802,-0.806633539839,-4.20669253053,-1.24091362151,2.02514438258,0.0108118475276,-0.00250059338987,-0.00228417292378
,,1.01619039671,0.109247062628,10.0,0.221019340229,53381,0.365,10.0,,-1.49603725824,0.63,0.0,1.51483268274,0.408172034,1.0,-0.47371789957,0.509954372152,-0.634153453464,3.0,0.658221218731,-1.82849738887,-4.56885034567,-0.65441558004,2.48443845088,-0.00314190911075,0.0254822208739,-0.0191333536028
,0.694820459342,0.183933434366,0.578714883697,6.0,-0.404183013545,14959,0.2654,9.0,,-0.192863121265,0.98,9.0,1.69937606635,17.28146777,1.0,0.0280577659073,-0.0742796072279,-0.370275290232,4.0,-0.571921973189,-1.04498076534,0.396293850021,0.0487227698819,-0.190113104717,0.000498207426273,0.000817528275082,0.000244996055541
,,-0.363638879756,-0.464653848861,7.0,-0.550577903329,84383,0.0166,,5.0,0.424213696596,0.82,5.0,1.06969296647,6.043469147,1.0,0.189356297315,-0.318489848105,0.234205650285,,-0.788874545542,-0.551481911714,0.146969228725,0.291859084615,0.0278420841545,-0.00774204702695,-0.0359346173601,-0.0242392612844
,1.6622124173,-0.679824872573,-0.421752758655,8.0,,59401,0.3318,9.0,5.0,0.870352996042,0.26,0.0,1.40839018961,9.647558909,1.0,-0.0954379305509,-0.122870221721,-1.03459251499,2.0,-0.790207318077,1.16106245859,0.336986808513,-1.08584302905,-0.150808293927,-0.0181543901986,0.0326709459694,-0.00366804400103
1.0,1.83271701552,1.27391287386,0.0814546663608,9.0,-0.0994213986065,42247,0.2109,10.0,5.0,-1.81804741056,0.85,5.0,1.74579459371,0.566276143,1.0,-0.81885799131,1.11413327871,-1.09496683349,5.0,0.669918287037,-0.0674787035013,1.50417059617,-0.893107006747,-0.953244533423,0.00658101913536,-0.0136228303986,-0.0110710880444
,,0.689337979426,0.930709287874,7.0,0.10553204574,99861,0.0158,10.0,5.0,-0.566697768937,0.04,4.0,1.61804362291,0.082646464,1.0,-0.260004517127,0.288489420151,-1.04949525686,6.0,0.146341258232,-1.94459203988,1.11081220877,-1.20199647474,-0.587617035431,0.00354945367515,-0.00142498485032,-0.00443550290337
,,0.301467344305,-1.08908972107,9.0,-0.536187704015,22423,0.0171,6.0,5.0,-0.415418488221,0.0,1.0,1.57984820121,1.063860197,1.0,-0.0530466924972,-0.203704454679,-0.717744724237,2.0,-0.863701541405,1.43332282257,0.300045139435,-0.57555544299,-0.552564769398,-0.00264263376307,-0.0436567482126,0.0459650596626
1.0,,1.01884847166,,3.0,1.19104888704,6997,0.3318,,5.0,-1.25871349856,0.93,9.0,1.52406782006,8.412467404,1.0,-1.19261927154,1.8939039879,-1.91429621061,9.0,1.46105440165,-0.907904629819,1.36113728632,-1.08080494001,-0.942733936688,-0.00432204568854,0.00214898656901,0.00106246282556
,-0.519834254056,-0.349125688576,0.187680463041,8.0,-0.418026366877,38514,0.0158,9.0,5.0,1.0453334909,,6.0,1.77949512207,7.953468741,1.0,-0.367685894776,0.157668717915,-1.18235769877,,-0.460643677014,,0.575571628278,-0.468787547977,-0.195528636594,0.0168985968935,-0.0260448033599,0.024541948027
,-0.968308057967,0.388288264992,0.0187266876783,10.0,0.261735759414,97297,0.2254,11.0,,-0.548548332625,0.02,3.0,1.31224545298,4.449353383,1.0,-0.428066352351,0.026237720749,-0.765155060757,10.0,0.229213422614,-1.15439576802,0.703111243738,-0.30510043,-0.308650965968,0.00952315995857,0.0587517566318,0.00110060199567
1.0,-1.93554804856,1.51297133675,1.3063745751,5.0,1.25748147277,83707,0.365,9.0,,-1.81730585195,0.72,6.0,1.54148980779,0.306531267,1.0,-1.32356090288,2.30895777313,-1.91443985678,2.0,1.68723940799,-3.24769171163,1.84838193874,-2.53114397609,-0.789088057436,-0.00470231816976,-0.000205843630378,-0.000802718554499
,1.65777629562,-0.108763746323,0.339339468048,8.0,-0.487385436255,28436,0.0107,11.0,5.0,0.311161238582,0.0,3.0,1.21375645213,3.289145003,1.0,-0.357181548633,0.0590042079637,-1.17181647681,2.0,-0.313174843755,0.0889735674942,0.92123437443,-1.21126686334,-0.283693007341,-0.00332878546911,-0.0540243341065,0.0105449625277
,-0.0895215286199,1.11054088065,0.714987055686,7.0,-0.0830228694875,69787,0.2064,9.0,5.0,-1.39381318924,0.6,4.0,1.41209780205,6.448964616,1.0,-0.346938307247,0.138445737441,-1.20419678707,4.0,0.0084188234029,-2.85105897454,0.932356565264,-0.982338003061,-0.562717688938,-0.00968628719932,-0.0269349460559,0.0114165870224
,0.449338204274,0.00944567805022,,1.0,-0.24155280055,15190,0.3418,11.0,,-0.036494444997,0.26,5.0,1.73831057073,0.162323981,1.0,-0.590457076064,0.466622204081,-0.708325596252,3.0,0.636509406259,0.82477974572,0.96310401436,-0.254390052324,-0.425907202477,-0.00643218723692,0.0183337674331,-0.00911812568443
,-1.4532841865,1.91812119991,0.143772773332,10.0,0.314463616877,54939,0.2254,10.0,,-2.95814716037,0.08,1.0,1.67497725272,0.934115038,1.0,-1.07956989514,1.46444424248,-1.6868118905,8.0,0.66374414348,-0.629162257073,1.42210227204,-1.02306239725,-0.971771381989,-0.0345764564608,-0.00426616220037,-0.0283403657302
,,-0.0112808866651,0.307412324845,7.0,-0.413864047997,15685,0.0099,8.0,4.0,,0.44,9.0,1.07837940685,13.22514655,1.0,-0.266365536843,0.171716135601,-0.392933289153,10.0,-0.388213261436,-1.73557953374,0.442124774401,-0.556495496301,-0.428375480335,-0.0442866529767,-0.00467885405815,0.038285101834
,-0.497425458384,-0.148800172901,0.177967949474,6.0,0.194807999121,54326,0.3583,10.0,5.0,0.2399545057,0.5,4.0,1.74894728567,0.109009056,1.0,-0.541581150828,0.342948130882,-1.17170054764,,0.230386862186,0.28918161611,0.70855814366,-0.150038633354,-0.715656619091,-0.0208907711517,-0.00619024505184,-0.0286381423253
,0.062170182716,0.302056504247,0.0568867882163,10.0,0.118512243683,64351,0.0107,13.0,,-0.288503100861,0.02,3.0,1.78942445482,0.075901806,1.0,-1.12954643482,1.09244455675,-1.37272979884,3.0,0.437351275823,-0.0645605361174,1.1202367477,-0.268823382312,-0.690949252907,0.00315616627577,-0.00786467293876,-3.85162383914e-05
,1.30493479435,-0.562264481243,-0.283732004382,1.0,-0.0226766463994,5064,0.365,11.0,4.0,1.00525329854,0.07,8.0,1.14674659444,1.152334331,1.0,-0.067627433817,-0.103665667118,-0.436731030299,8.0,0.171126483192,0.925352780456,-0.195818442532,0.101238139021,-0.0738356911147,-0.0148327429322,-0.0162850747521,0.000609250571417
9.0,,1.54550530016,1.55238847165,2.0,1.3116459111,56690,0.2138,12.0,,-1.35777653622,0.03,8.0,1.50184145022,0.835159662,1.0,-1.47459539339,2.41054721342,-2.22608731922,6.0,1.76351222861,-2.31109376153,1.75879832874,-3.71586896892,-1.30726513364,-0.00798503325045,-0.0100512937877,0.00486666531411
,-0.323164254576,0.536157984971,1.00522539101,1.0,1.64112315123,56222,0.0158,15.0,,-0.540889741683,0.89,,1.49413043305,3.328026345,1.0,-1.28262210967,1.62706548275,-1.30327285733,10.0,2.47359943264,-1.35718824052,0.975204826112,-2.09905603774,-0.897466987034,-0.00249836459973,0.062485083557,0.0249427171501
